Aarakocra-Fazendeiro,Aarakocra-Caçador,Aarakocra-Lenhador,Aarakocra-Herbalista,Aarakocra-Coletor,Aarakocra-Guarda,Aarakocra-Capitao,Aarakocra-General,Aarakocra-Civil,Aarakocra-Explorador,Anao-Fazendeiro,Anao-Caçador,Anao-Lenhador,Anao-Herbalista,Anao-Coletor,Anao-Guarda,Anao-Capitao,Anao-General,Anao-Civil,Anao-Explorador,Draconato-Fazendeiro,Draconato-Caçador,Draconato-Lenhador,Draconato-Herbalista,Draconato-Coletor,Draconato-Guarda,Draconato-Capitao,Draconato-General,Draconato-Civil,Draconato-Explorador,Elfo-Fazendeiro,Elfo-Caçador,Elfo-Lenhador,Elfo-Herbalista,Elfo-Coletor,Elfo-Guarda,Elfo-Capitao,Elfo-General,Elfo-Civil,Elfo-Explorador,Warforged-Fazendeiro,Warforged-Caçador,Warforged-Lenhador,Warforged-Herbalista,Warforged-Coletor,Warforged-Guarda,Warforged-Capitao,Warforged-General,Warforged-Civil,Warforged-Explorador,Gnomo-Fazendeiro,Gnomo-Caçador,Gnomo-Lenhador,Gnomo-Herbalista,Gnomo-Coletor,Gnomo-Guarda,Gnomo-Capitao,Gnomo-General,Gnomo-Civil,Gnomo-Explorador,Goblin-Fazendeiro,Goblin-Caçador,Goblin-Lenhador,Goblin-Herbalista,Goblin-Coletor,Goblin-Guarda,Goblin-Capitao,Goblin-General,Goblin-Civil,Goblin-Explorador,Golias-Fazendeiro,Golias-Caçador,Golias-Lenhador,Golias-Herbalista,Golias-Coletor,Golias-Guarda,Golias-Capitao,Golias-General,Golias-Civil,Golias-Explorador,Halfling-Fazendeiro,Halfling-Caçador,Halfling-Lenhador,Halfling-Herbalista,Halfling-Coletor,Halfling-Guarda,Halfling-Capitao,Halfling-General,Halfling-Civil,Halfling-Explorador,Humano-Fazendeiro,Humano-Caçador,Humano-Lenhador,Humano-Herbalista,Humano-Coletor,Humano-Guarda,Humano-Capitao,Humano-General,Humano-Civil,Humano-Explorador,Kobold-Fazendeiro,Kobold-Caçador,Kobold-Lenhador,Kobold-Herbalista,Kobold-Coletor,Kobold-Guarda,Kobold-Capitao,Kobold-General,Kobold-Civil,Kobold-Explorador,Orc-Fazendeiro,Orc-Caçador,Orc-Lenhador,Orc-Herbalista,Orc-Coletor,Orc-Guarda,Orc-Capitao,Orc-General,Orc-Civil,Orc-Explorador,Tabaxi-Fazendeiro,Tabaxi-Caçador,Tabaxi-Lenhador,Tabaxi-Herbalista,Tabaxi-Coletor,Tabaxi-Guarda,Tabaxi-Capitao,Tabaxi-General,Tabaxi-Civil,Tabaxi-Explorador,Tiefling-Fazendeiro,Tiefling-Caçador,Tiefling-Lenhador,Tiefling-Herbalista,Tiefling-Coletor,Tiefling-Guarda,Tiefling-Capitao,Tiefling-General,Tiefling-Civil,Tiefling-Explorador
6.55,6.7,5.05,7,6.15,7.15,7.15,7,6.95,6.9,6.1,7.15,6.65,4.45,7.05,7.65,6.65,6.8,7.4,7,5.75,6.1,6.7,6.3,6.15,6.65,7.1,6.75,7.55,6.5,7,5.75,5.9,2.05,6.1,7.35,5.7,7.3,6.9,5.15,6.65,6.8,7.05,5.7,7.1,6.8,6.75,7.45,7.1,5.45,6.5,7.6,7.2,6.4,7.3,6.9,6.85,7.5,7.45,6.9,6.65,5.75,7.25,7.1,6.05,7.35,6.9,7.6,7.5,6.65,4.55,5.25,6.8,7,3.4,5.85,2.7,6.8,5.35,5.85,5.55,7.5,7.35,6.75,6.8,8.35,7.4,6.7,8.7,6.9,3.95,5.5,7.85,7.55,8.2,7.45,7.45,7,7.15,6.25,6.25,4.5,8.400001,5.95,6.7,8.1,7.7,7.55,7.65,7.3,7.3,3.2,6.85,5.25,6.5,7.95,6.9,7.9,8,7.25,4.35,2.55,6.85,7.05,2.4,6.85,2.3,7.1,7.65,6.3,7.15,7.15,7.15,6.05,6.4,8.150001,7.3,7.15,8.35,7.2
6.1,7.4,6.3,7.5,7.7,7.9,7.65,7.5,7.15,6.65,7.2,7.45,4.2,6.65,8.45,6.7,5.4,8.05,7.4,7.05,7.75,5.6,6.95,4,7.75,6.85,7.05,7.35,7.2,6.5,4.75,7.1,4,7.3,7.6,7.05,6.85,6.65,2.45,7.25,5.95,5.9,5.9,6.65,6.85,6.35,6.55,6.55,1.65,6.05,6.3,7,7.25,7.9,7.7,7.4,7.45,7.5,7.1,7.05,5.3,6.9,5.8,7.55,7.15,7.25,6.85,6.7,6.45,7.2,6.2,7.05,5.75,4.5,6.25,7.55,5.5,5.45,7.5,7.2,6.75,8.05,7.55,7.4,7.45,8.25,7.05,7.45,8.05,6.75,7.45,7.4,1.65,8,7.85,7.85,7.45,8.150001,6.8,7.2,7.35,7.25,8.150001,8.150001,8.25,7.55,7.25,8,7.85,4.2,7.5,7.8,8,4.95,7.95,6.9,7.35,8.400001,7.55,7.75,3.3,4.4,2.5,6.9,7,8.55,7.15,6.6,8.25,4.1,5.6,4.6,6.5,6.9,7.35,5.65,5.95,7.35,7.1,6.65
